"","DATE","PERIOD","R","PLANETDISCMETH","numPlanets"
"2540",2014,9.926746,0.244446,"Transit",769
"2542",2016,0.66308526,0.128,"Transit",1288
"2543",2014,16.282493,0.165046,"Transit",769
"2544",2016,18.3027248,0.131,"Transit",1288
"2546",2014,6.988055,0.102596,"Transit",769
"2548",2013,7.919585,0.775,"Transit",57
"2549",2013,3.6936411,1.653,"Transit",57
"2550",2016,3.95116882,0.068,"Transit",1288
"2551",2009,3.076337,1.5,"Transit",18
"2552",2010,1.565409,0.137,"Transit",66
"2553",2016,308.5471,0.309,"Transit",1288
"2554",2009,3.7521,1.379,"Transit",18
"2555",2010,3.79701816,0.978,"Transit",66
"2557",2016,161.5280101,0.592,"Transit",1288
"2559",2010,2.984151,0.144,"Transit",66
"2560",2008,4.1250828,1.33,"Transit",14
"2561",2011,2.143634,1.67,"Transit",122
"2562",2016,18.42794624,0.192,"Transit",1288
"2564",2013,3.743208,0.1558,"Transit",57
"2565",2010,2.718661,1.1,"Transit",66
"2566",2014,6.846262,0.165938,"Transit",769
"2567",2008,3.67724,1.36,"Transit",14
"2569",2014,4.544439,0.259613,"Transit",769
"2570",2011,118.3807,0.296741,"Transit",122
"2571",2014,1.620493,0.14185,"Transit",769
"2572",2016,11.17394617,0.215,"Transit",1288
"2573",2016,1.68269615,0.118,"Transit",1288
"2574",2016,2.71407755,0.104,"Transit",1288
"2577",2016,24.66919569,1.288,"Transit",1288
"2578",2016,6.10960324,0.079,"Transit",1288
"2579",2016,3.40165668,0.141,"Transit",1288
"2582",2014,8.127899,0.150772,"Transit",769
"2584",2014,4.148141,0.100812,"Transit",769
"2587",2016,1.00393374,0.153,"Transit",1288
"2589",2016,14.07971466,0.133,"Transit",1288
"2590",2014,13.767102,0.196271,"Transit",769
"2592",2016,0.66502692,0.138,"Transit",1288
"2594",2014,83.488369,0.25426,"Transit",769
"2596",2013,4.617101,1.092,"Transit",57
"2597",2011,7.64159,0.489785,"Transit",122
"2598",2014,68.16101,0.156125,"Transit",769
"2599",2016,172.7049784,0.242,"Transit",1288
"2600",2015,3.3252725,0.998,"Transit",27
"2601",2014,91.773242,0.181997,"Transit",769
"2602",2016,12.53248465,0.296,"Transit",1288
"2603",2016,19.96371318,0.13,"Transit",1288
"2604",2014,3.173315,0.0722634,"Transit",769
"2605",2014,14.749049,0.307788,"Transit",769
"2606",2016,26.9644317,0.203,"Transit",1288
"2607",2016,3.03195744,0.079,"Transit",1288
"2608",2016,9.95661537,0.242,"Transit",1288
"2609",2016,6.93366476,0.123,"Transit",1288
"2610",2010,6.21229,0.57,"Transit",66
"2611",2016,4.08227507,1.088,"Transit",1288
"2612",2016,2.61302086,0.15,"Transit",1288
"2613",2016,12.9460978,0.17,"Transit",1288
"2614",2016,2.46050993,0.105,"Transit",1288
"2615",2014,14.383035,0.152556,"Transit",769
"2616",2016,2.46697439,0.132,"Transit",1288
"2617",2016,23.8990296,0.143,"Transit",1288
"2618",2014,5.700786,0.167722,"Transit",769
"2619",2016,4.11584468,0.135,"Transit",1288
"2620",2012,9.24285,0.84,"Transit",54
"2621",2014,11.97901,0.238201,"Transit",769
"2624",2016,5.53608151,0.202,"Transit",1288
"2625",2016,2.53475627,0.25,"Transit",1288
"2626",2016,5.65179605,0.153,"Transit",1288
"2627",2016,5.65377733,0.207,"Transit",1288
"2628",2016,24.3397804,0.264,"Transit",1288
"2629",2016,6.26406846,0.129,"Transit",1288
"2631",2016,2.20921951,0.073,"Transit",1288
"2632",2016,17.671796,0.223,"Transit",1288
"2633",2016,11.87456832,0.122,"Transit",1288
"2634",2012,5.955,0.216,"Transit",54
"2635",2016,6.1469851,0.189,"Transit",1288
"2636",2016,55.8226539,0.223,"Transit",1288
"2637",2016,14.53244172,0.279,"Transit",1288
"2638",2016,4.52158888,0.087,"Transit",1288
"2640",2016,4.99678284,0.232,"Transit",1288
"2641",2016,14.58649607,0.206,"Transit",1288
"2642",2016,3.908632,0.217,"Transit",1288
"2643",2014,27.320871,0.156125,"Transit",769
"2644",2016,27.80756293,1.259,"Transit",1288
"2645",2011,8.7522,0.1784,"Transit",122
"2646",2011,7.10664,0.169356,"Transit",122
"2647",2011,2.9444256,0.962,"Transit",122
"2648",2016,13.64618192,0.194,"Transit",1288
"2651",2016,198.088774,0.259,"Transit",1288
"2652",2016,3.03214559,0.264,"Transit",1288
"2653",2010,66.0634,0.244,"Transit",66
"2654",2016,4.48487493,0.115,"Transit",1288
"2655",2014,17.308032,0.231064,"Transit",769
"2656",2013,4.86069,1.08,"Transit",57
"2658",2014,7.626324,0.10438,"Transit",769
"2660",2014,16.068638,0.438933,"Transit",769
"2661",2016,16.78176602,0.207,"Transit",1288
"2662",2016,2.99793191,0.079,"Transit",1288
"2663",2016,7.09714223,0.082,"Transit",1288
"2664",2004,1.689868,1.2,"Transit",4
"2666",2016,8.50340718,0.145,"Transit",1288
"2667",2016,22.70816791,0.211,"Transit",1288
"2668",2016,2.41811321,0.087,"Transit",1288
"2670",2016,5.08005848,0.3,"Transit",1288
"2671",2016,153.343364,0.238,"Transit",1288
"2672",2016,4.1653651,0.094,"Transit",1288
"2673",2013,1.7497798,1.27,"Transit",57
"2674",2016,9.10967112,0.106,"Transit",1288
"2675",2014,9.693201,0.182889,"Transit",769
"2676",2014,2.46236,0.144527,"Transit",769
"2677",2014,25.193458,0.140958,"Transit",769
"2678",2016,16.07677615,0.199,"Transit",1288
"2679",2016,9.1149903,0.153,"Transit",1288
"2680",2016,9.27358194,0.229,"Transit",1288
"2681",2016,2.88879862,0.076,"Transit",1288
"2684",2016,36.2919336,0.207,"Transit",1288
"2685",2016,9.65185017,0.102,"Transit",1288
"2686",2016,41.6979976,0.188,"Transit",1288
"2687",2014,3.295709,0.255152,"Transit",769
"2688",2014,160.018032,0.353288,"Transit",769
"2689",2016,287.378949,0.541,"Transit",1288
"2690",2013,3.57878087,0.96,"Transit",57
"2691",2016,5.00731778,0.76,"Transit",1288
"2693",2016,49.276764,0.193,"Transit",1288
"2694",2016,0.97486893,0.106,"Transit",1288
"2696",2014,2.211099,0.14185,"Transit",769
"2697",2016,1.6255222,0.944,"Transit",1288
"2698",2016,8.5083244,0.23,"Transit",1288
"2699",2014,2.549575,0.0990276,"Transit",769
"2700",2016,32.5637069,0.197,"Transit",1288
"2701",2016,5.39202539,0.236,"Transit",1288
"2702",2011,1.9550959,1.153,"Transit",122
"2703",2016,125.4131177,0.222,"Transit",1288
"2705",2016,0.6381632,0.078,"Transit",1288
"2706",2016,0.56887443,0.139,"Transit",1288
"2707",2016,16.0506213,0.075,"Transit",1288
"2708",2016,15.36262753,0.173,"Transit",1288
"2709",2016,3.88689525,0.118,"Transit",1288
"2710",2016,5.18500207,0.128,"Transit",1288
"2712",2016,11.55530021,0.105,"Transit",1288
"2713",2013,191.2318,0.549,"Timing",4
"2714",2014,7.125939,0.143635,"Transit",769
"2715",2013,2.96264,1.1,"Transit",57
"2716",2016,0.69297968,0.08,"Transit",1288
"2717",2014,34.096863,0.138282,"Transit",769
"2718",2012,3.336649,0.374365,"RV",29
"2720",2016,4.19042557,0.548,"Transit",1288
"2721",2016,11.55562343,0.176,"Transit",1288
"2722",2014,36.77031,0.240878,"Transit",769
"2723",2016,11.41928253,0.178,"Transit",1288
"2724",2014,25.09849,0.125792,"Transit",769
"2725",2016,101.951829,0.144,"Transit",1288
"2726",2016,21.0907758,0.168,"Transit",1288
"2727",2014,8.014927,0.176644,"Transit",769
"2728",2016,8.63847725,0.189,"Transit",1288
"2729",2016,7.75192492,0.178,"Transit",1288
"2731",2014,6.61833,0.221251,"Transit",769
"2732",2016,9.48961571,0.165,"Transit",1288
"2734",2014,7.384108,0.150772,"Transit",769
